Gene_ID,Tumor_Mean,Normal_Mean,Log2FC,P_value,T_stat,-log10(P),Significant
30149,9.014972972972972,8.105121621621622,0.13740833457352597,1.0065377411097094e-11,7.089030937541396,10.997169936176826,Not Significant
21097,5.423263513513514,4.948263513513514,0.1108379225110685,1.0163452994604737e-11,7.0874591181173745,10.992958717078722,Not Significant
20247,10.339797297297297,10.91416891891892,-0.07128346699905297,1.030822379416329e-11,-7.085166015462541,10.986816161374998,Not Significant
37199,11.209222972972972,10.851736486486487,0.04287293170127171,1.039022133299218e-11,7.083881238422877,10.983375200982444,Not Significant
20974,9.589979729729729,9.032121621621622,0.07807308440309013,1.0472035483976802e-11,7.082609246210873,10.979968894869332,Not Significant
55721,9.762986486486486,9.357067567567567,0.0554628632508396,1.0606397160628405e-11,7.08054135868126,10.974432114588762,Not Significant
59609,8.728101351351352,8.202662162162163,0.08010699256431453,1.0662862958422791e-11,7.079680011096815,10.9721261724099,Not Significant
58493,5.061662162162162,4.419986486486486,0.1614241933245819,1.076907650805063e-11,7.078071895452039,10.967821537616947,Not Significant
8945,9.867135135135134,9.565290540540541,0.040639216580425686,1.085871327457684e-11,7.076726863085282,10.964221634310599,Not Significant
24147,6.389804054054054,5.606783783783785,0.1615879795066566,1.0859283875637307e-11,7.076718336071896,10.964198813707918,Not Significant
50428,9.791033783783783,9.358324324324325,0.05904244620573529,1.0928165131324122e-11,7.075692207883487,10.961452751155129,Not Significant
34631,8.776216216216216,8.190722972972974,0.08909783976282659,1.1221597313278978e-11,7.071391107434278,10.94994531999887,Not Significant
43201,11.867148648648646,12.17360135135135,-0.03395740951046822,1.1302179131955446e-11,-7.070229321570481,10.946837813707447,Not Significant
4748,7.697959459459461,7.047189189189188,0.1121920337122333,1.1324381022562514e-11,7.069910659375785,10.945985526695443,Not Significant
23992,9.195135135135136,9.72868243243243,-0.07359201433407359,1.1340701598416921e-11,-7.069676803304922,10.945360076757437,Not Significant
32523,12.698783783783785,12.044547297297298,0.07060093517153243,1.1769839891145156e-11,7.063643751033663,10.929229444961587,Not Significant
49252,9.264006756756757,8.88210810810811,0.054703281507635815,1.1782867575240626e-11,7.063464006780228,10.928749003220465,Not Significant
4047,9.301256756756757,8.64729054054054,0.09462463662141873,1.2266995366230237e-11,7.056919544798218,10.911261798777605,Not Significant
51269,6.5615,6.215087837837839,0.06765549660397996,1.2387350801240636e-11,7.055332050779134,10.907021563310956,Not Significant
